epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
90,1876.78,0.48268,0.29349,0.07535,0.00588,0.96474,0.9207,0.95004,0.91813,0.33909,0.28795,0.11142,0.00308,0.000148625,0.000148625,0.000148625
91,1898.32,0.36836,0.21498,0.10653,0.00288,0.95812,0.90715,0.94648,0.91629,0.33284,0.31621,0.11161,0.0025,0.00013625,0.00013625,0.00013625
92,1916.06,0.36934,0.21114,0.10489,0.00367,0.97283,0.90138,0.94723,0.91258,0.32786,0.31412,0.11163,0.00246,0.000123875,0.000123875,0.000123875
93,1933.64,0.36336,0.20678,0.10554,0.00284,0.97493,0.90621,0.94132,0.91375,0.32704,0.31384,0.1113,0.00228,0.0001115,0.0001115,0.0001115
94,1952.18,0.35271,0.20066,0.10428,0.00312,0.9754,0.90989,0.94841,0.92018,0.33043,0.30126,0.11109,0.00601,9.9125e-05,9.9125e-05,9.9125e-05
95,1969.6,0.34713,0.19979,0.10678,0.00294,0.9775,0.91026,0.94895,0.92273,0.31522,0.31084,0.11127,0.00256,8.675e-05,8.675e-05,8.675e-05
96,1987.32,0.34457,0.20271,0.10567,0.00301,0.96962,0.91591,0.94955,0.92034,0.32198,0.29032,0.11154,0.00219,7.4375e-05,7.4375e-05,7.4375e-05
97,2005.69,0.33932,0.18949,0.10503,0.00281,0.9768,0.91082,0.9492,0.92049,0.33152,0.29815,0.1115,0.00228,6.2e-05,6.2e-05,6.2e-05
98,2023.11,0.33692,0.19129,0.10389,0.00286,0.97872,0.91788,0.94965,0.92002,0.3271,0.29081,0.11153,0.00227,4.9625e-05,4.9625e-05,4.9625e-05
99,2040.65,0.33562,0.18632,0.10624,0.00307,0.97624,0.91756,0.94956,0.92548,0.32147,0.28619,0.11159,0.00228,3.725e-05,3.725e-05,3.725e-05
100,2059.11,0.34709,0.20081,0.10365,0.00316,0.9696,0.92564,0.94934,0.92032,0.32964,0.2923,0.11165,0.00241,2.4875e-05,2.4875e-05,2.4875e-05
